run_name,run_path,config/dataset.name,config/tracking.seed,config/dataset.gen_dow_kwargs.seed,config/trainer.generative.criterion.kwargs.alpha,acc,dis_loss,gen_loss,rob/0.1,rob/0.2,rob/0.3,uq_clean_accuracy,uq_clean_log_px_mean,uq_adv_acc/0.1,uq_adv_acc/0.2,uq_adv_acc/0.3,uq_detection/1pct/0.1,uq_detection/5pct/0.1,uq_detection/10pct/0.1,uq_detection/20pct/0.1,uq_detection/1pct/0.2,uq_detection/5pct/0.2,uq_detection/10pct/0.2,uq_detection/20pct/0.2,uq_detection/1pct/0.3,uq_detection/5pct/0.3,uq_detection/10pct/0.3,uq_detection/20pct/0.3,uq_det_err_detected/1pct/0.1,uq_det_err_detected/5pct/0.1,uq_det_err_detected/10pct/0.1,uq_det_err_detected/20pct/0.1,uq_det_err_detected/1pct/0.2,uq_det_err_detected/5pct/0.2,uq_det_err_detected/10pct/0.2,uq_det_err_detected/20pct/0.2,uq_det_err_detected/1pct/0.3,uq_det_err_detected/5pct/0.3,uq_det_err_detected/10pct/0.3,uq_det_err_detected/20pct/0.3,uq_det_err_passed/1pct/0.1,uq_det_err_passed/5pct/0.1,uq_det_err_passed/10pct/0.1,uq_det_err_passed/20pct/0.1,uq_det_err_passed/1pct/0.2,uq_det_err_passed/5pct/0.2,uq_det_err_passed/10pct/0.2,uq_det_err_passed/20pct/0.2,uq_det_err_passed/1pct/0.3,uq_det_err_passed/5pct/0.3,uq_det_err_passed/10pct/0.3,uq_det_err_passed/20pct/0.3,uq_purify_acc/0.1/0.2,uq_purify_recovery/0.1/0.2,uq_purify_acc/0.1/0.3,uq_purify_recovery/0.1/0.3,uq_purify_acc/0.2/0.2,uq_purify_recovery/0.2/0.2,uq_purify_acc/0.2/0.3,uq_purify_recovery/0.2/0.3,uq_purify_acc/0.3/0.2,uq_purify_recovery/0.3/0.2,uq_purify_acc/0.3/0.3,uq_purify_recovery/0.3/0.3,uq_clean_purify_acc/0.2,uq_clean_purify_acc/0.3,uq_joint_adv_acc/0.1,uq_joint_adv_acc/0.2,uq_joint_adv_acc/0.3,uq_joint_detection/1pct/0.1,uq_joint_detection/5pct/0.1,uq_joint_detection/10pct/0.1,uq_joint_detection/20pct/0.1,uq_joint_detection/1pct/0.2,uq_joint_detection/5pct/0.2,uq_joint_detection/10pct/0.2,uq_joint_detection/20pct/0.2,uq_joint_detection/1pct/0.3,uq_joint_detection/5pct/0.3,uq_joint_detection/10pct/0.3,uq_joint_detection/20pct/0.3,uq_joint_det_err_detected/1pct/0.1,uq_joint_det_err_detected/5pct/0.1,uq_joint_det_err_detected/10pct/0.1,uq_joint_det_err_detected/20pct/0.1,uq_joint_det_err_detected/1pct/0.2,uq_joint_det_err_detected/5pct/0.2,uq_joint_det_err_detected/10pct/0.2,uq_joint_det_err_detected/20pct/0.2,uq_joint_det_err_detected/1pct/0.3,uq_joint_det_err_detected/5pct/0.3,uq_joint_det_err_detected/10pct/0.3,uq_joint_det_err_detected/20pct/0.3,uq_joint_det_err_passed/1pct/0.1,uq_joint_det_err_passed/5pct/0.1,uq_joint_det_err_passed/10pct/0.1,uq_joint_det_err_passed/20pct/0.1,uq_joint_det_err_passed/1pct/0.2,uq_joint_det_err_passed/5pct/0.2,uq_joint_det_err_passed/10pct/0.2,uq_joint_det_err_passed/20pct/0.2,uq_joint_det_err_passed/1pct/0.3,uq_joint_det_err_passed/5pct/0.3,uq_joint_det_err_passed/10pct/0.3,uq_joint_det_err_passed/20pct/0.3,uq_joint_purify_acc/0.1/0.2,uq_joint_purify_recovery/0.1/0.2,uq_joint_purify_acc/0.1/0.3,uq_joint_purify_recovery/0.1/0.3,uq_joint_purify_acc/0.2/0.2,uq_joint_purify_recovery/0.2/0.2,uq_joint_purify_acc/0.2/0.3,uq_joint_purify_recovery/0.2/0.3,uq_joint_purify_acc/0.3/0.2,uq_joint_purify_recovery/0.3/0.2,uq_joint_purify_acc/0.3/0.3,uq_joint_purify_recovery/0.3/0.3
0,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a05_2707/0,ecg200,1,42,,0.82,0.514453113079071,3.4573028087615967,0.64,0.44,0.24,0.82,-2.942850351333618,0.62,0.4,0.2,0.14,0.18,0.2,0.32,0.24,0.32,0.36,0.54,0.52,0.6,0.7,0.82,1.0,1.0,0.9,0.75,0.9166666666666666,0.8125,0.7777777777777778,0.7037037037037037,0.8461538461538461,0.8333333333333334,0.8,0.7804878048780488,0.27906976744186046,0.24390243902439024,0.25,0.20588235294117646,0.5,0.5,0.5,0.4782608695652174,0.75,0.75,0.8,0.8888888888888888,0.72,0.2631578947368421,0.72,0.2631578947368421,0.62,0.36666666666666664,0.66,0.43333333333333335,0.48,0.35,0.56,0.45,0.82,0.82,0.78,0.76,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.22,0.22,0.22,0.22,0.24,0.24,0.24,0.24,0.26,0.26,0.26,0.26,0.8,0.18181818181818182,0.8,0.18181818181818182,0.78,0.08333333333333333,0.78,0.08333333333333333,0.76,0.07692307692307693,0.78,0.15384615384615385
1,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a05_2707/1,ecg200,2,42,,0.84,0.5083708167076111,3.735024929046631,0.64,0.42,0.18,0.84,-3.226654291152954,0.64,0.42,0.18,0.08,0.14,0.16,0.28,0.22,0.3,0.32,0.66,0.38,0.46,0.58,0.86,1.0,0.8571428571428571,0.875,0.7142857142857143,0.7272727272727273,0.7333333333333333,0.75,0.6060606060606061,0.8947368421052632,0.9130434782608695,0.7931034482758621,0.7906976744186046,0.30434782608695654,0.27906976744186046,0.2619047619047619,0.2222222222222222,0.5384615384615384,0.5142857142857142,0.5,0.5294117647058824,0.7741935483870968,0.7407407407407407,0.8571428571428571,1.0,0.74,0.2777777777777778,0.76,0.3333333333333333,0.6,0.3103448275862069,0.62,0.3448275862068966,0.52,0.4146341463414634,0.58,0.4878048780487805,0.82,0.82,0.78,0.78,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.8,0.18181818181818182,0.8,0.18181818181818182,0.8,0.09090909090909091,0.8,0.09090909090909091,0.8,0.09090909090909091,0.8,0.09090909090909091
2,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a05_2707/2,ecg200,3,42,,0.84,0.5133686661720276,3.980410575866699,0.64,0.44,0.16,0.84,-3.4670417308807373,0.64,0.48,0.16,0.1,0.16,0.18,0.26,0.2,0.34,0.38,0.56,0.4,0.54,0.6,0.76,0.8,0.625,0.6666666666666666,0.6923076923076923,0.6,0.6470588235294118,0.631578947368421,0.6071428571428571,0.75,0.8148148148148148,0.8333333333333334,0.7894736842105263,0.3111111111111111,0.30952380952380953,0.2926829268292683,0.24324324324324326,0.5,0.45454545454545453,0.45161290322580644,0.4090909090909091,0.9,0.8695652173913043,0.85,1.0,0.72,0.2222222222222222,0.74,0.2777777777777778,0.68,0.38461538461538464,0.7,0.4230769230769231,0.52,0.42857142857142855,0.6,0.5238095238095238,0.82,0.82,0.78,0.78,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.24,0.24,0.24,0.24,0.8,0.18181818181818182,0.8,0.18181818181818182,0.8,0.09090909090909091,0.8,0.09090909090909091,0.78,0.08333333333333333,0.78,0.08333333333333333
3,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a05_2707/3,ecg200,4,42,,0.82,0.4973701238632202,3.6258864402770996,0.64,0.42,0.16,0.82,-3.128516435623169,0.66,0.42,0.22,0.14,0.2,0.22,0.28,0.24,0.34,0.34,0.52,0.54,0.58,0.62,0.82,0.7142857142857143,0.8,0.7272727272727273,0.6428571428571429,0.6666666666666666,0.7058823529411765,0.7058823529411765,0.6923076923076923,0.8148148148148148,0.8275862068965517,0.8064516129032258,0.7804878048780488,0.27906976744186046,0.225,0.23076923076923078,0.2222222222222222,0.5526315789473685,0.5151515151515151,0.5151515151515151,0.4583333333333333,0.7391304347826086,0.7142857142857143,0.7368421052631579,0.7777777777777778,0.72,0.17647058823529413,0.72,0.17647058823529413,0.66,0.41379310344827586,0.7,0.4827586206896552,0.56,0.4358974358974359,0.62,0.5128205128205128,0.82,0.82,0.78,0.76,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.22,0.22,0.22,0.22,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.8,0.18181818181818182,0.8,0.18181818181818182,0.8,0.16666666666666666,0.8,0.16666666666666666,0.78,0.08333333333333333,0.78,0.08333333333333333
4,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a05_2707/4,ecg200,5,42,,0.84,0.5117727518081665,3.718191146850586,0.64,0.44,0.26,0.84,-3.206418514251709,0.64,0.46,0.2,0.18,0.2,0.22,0.3,0.26,0.28,0.32,0.6,0.42,0.46,0.52,0.8,0.6666666666666666,0.7,0.6363636363636364,0.6666666666666666,0.7692307692307693,0.7142857142857143,0.75,0.5666666666666667,0.8571428571428571,0.8260869565217391,0.8461538461538461,0.775,0.2926829268292683,0.275,0.28205128205128205,0.22857142857142856,0.4594594594594595,0.4722222222222222,0.4411764705882353,0.5,0.7586206896551724,0.7777777777777778,0.75,0.9,0.72,0.2222222222222222,0.74,0.2777777777777778,0.66,0.37037037037037035,0.68,0.4074074074074074,0.52,0.4,0.6,0.5,0.82,0.82,0.78,0.78,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.26,0.26,0.26,0.26,0.8,0.18181818181818182,0.8,0.18181818181818182,0.8,0.09090909090909091,0.8,0.09090909090909091,0.76,0.07692307692307693,0.76,0.07692307692307693
5,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a05_2707/5,ecg200,6,42,,0.82,0.5164056420326233,3.475663185119629,0.64,0.4,0.2,0.82,-2.9592578411102295,0.64,0.48,0.24,0.14,0.18,0.2,0.28,0.22,0.24,0.26,0.54,0.52,0.62,0.64,0.76,0.8571428571428571,0.8888888888888888,0.8,0.7142857142857143,0.6363636363636364,0.5833333333333334,0.6153846153846154,0.6296296296296297,0.7307692307692307,0.7419354838709677,0.75,0.7631578947368421,0.27906976744186046,0.24390243902439024,0.25,0.2222222222222222,0.48717948717948717,0.5,0.4864864864864865,0.391304347826087,0.7916666666666666,0.7894736842105263,0.7777777777777778,0.75,0.74,0.2777777777777778,0.74,0.2777777777777778,0.68,0.38461538461538464,0.72,0.46153846153846156,0.62,0.5,0.66,0.5526315789473685,0.82,0.82,0.78,0.78,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.26,0.26,0.26,0.26,0.78,0.09090909090909091,0.8,0.18181818181818182,0.8,0.09090909090909091,0.8,0.09090909090909091,0.76,0.07692307692307693,0.76,0.07692307692307693
6,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a05_2707/6,ecg200,7,42,,0.82,0.5168688893318176,3.4934844970703125,0.66,0.42,0.22,0.82,-2.9766156673431396,0.64,0.44,0.16,0.2,0.22,0.24,0.3,0.26,0.28,0.32,0.46,0.54,0.6,0.62,0.82,0.8,0.7272727272727273,0.6666666666666666,0.6666666666666666,0.7692307692307693,0.7857142857142857,0.6875,0.782608695652174,0.8148148148148148,0.8333333333333334,0.8387096774193549,0.8536585365853658,0.25,0.2564102564102564,0.2631578947368421,0.22857142857142856,0.4864864864864865,0.4722222222222222,0.5,0.37037037037037035,0.8695652173913043,0.85,0.8421052631578947,0.7777777777777778,0.74,0.2777777777777778,0.74,0.2777777777777778,0.62,0.32142857142857145,0.66,0.39285714285714285,0.58,0.5,0.66,0.5952380952380952,0.82,0.82,0.78,0.74,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.22,0.22,0.22,0.22,0.26,0.26,0.26,0.26,0.24,0.24,0.24,0.24,0.8,0.18181818181818182,0.82,0.2727272727272727,0.8,0.23076923076923078,0.8,0.23076923076923078,0.78,0.08333333333333333,0.78,0.08333333333333333
7,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a05_2707/7,ecg200,8,42,,0.82,0.5024743676185608,3.5870542526245117,0.64,0.42,0.3,0.82,-3.084580183029175,0.64,0.4,0.2,0.08,0.1,0.12,0.28,0.32,0.34,0.36,0.54,0.44,0.48,0.48,0.74,0.75,0.8,0.8333333333333334,0.7142857142857143,0.75,0.7647058823529411,0.7777777777777778,0.7037037037037037,0.8181818181818182,0.8333333333333334,0.8333333333333334,0.8108108108108109,0.32608695652173914,0.3111111111111111,0.29545454545454547,0.2222222222222222,0.5294117647058824,0.5151515151515151,0.5,0.4782608695652174,0.7857142857142857,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.74,0.2777777777777778,0.74,0.2777777777777778,0.64,0.4,0.64,0.4,0.54,0.425,0.6,0.5,0.82,0.82,0.76,0.78,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.24,0.24,0.24,0.24,0.22,0.22,0.22,0.22,0.26,0.26,0.26,0.26,0.8,0.16666666666666666,0.8,0.16666666666666666,0.8,0.09090909090909091,0.8,0.09090909090909091,0.78,0.15384615384615385,0.78,0.15384615384615385
8,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a05_2707/8,ecg200,9,42,,0.82,0.5039514303207397,3.673504590988159,0.66,0.46,0.12,0.82,-3.169553279876709,0.64,0.42,0.2,0.2,0.2,0.2,0.28,0.22,0.32,0.32,0.56,0.48,0.58,0.58,0.84,0.8,0.8,0.8,0.6428571428571429,0.8181818181818182,0.8125,0.8125,0.6785714285714286,0.875,0.8620689655172413,0.8620689655172413,0.7857142857142857,0.25,0.25,0.25,0.25,0.5128205128205128,0.47058823529411764,0.47058823529411764,0.45454545454545453,0.7307692307692307,0.7142857142857143,0.7142857142857143,0.875,0.74,0.2777777777777778,0.74,0.2777777777777778,0.6,0.3103448275862069,0.64,0.3793103448275862,0.52,0.4,0.58,0.475,0.82,0.82,0.76,0.78,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.24,0.24,0.24,0.24,0.22,0.22,0.22,0.22,0.26,0.26,0.26,0.26,0.8,0.16666666666666666,0.8,0.16666666666666666,0.8,0.09090909090909091,0.8,0.09090909090909091,0.78,0.15384615384615385,0.76,0.15384615384615385
9,/mathqi/mnissen/bm4tc/outputs/ecg200/nat/legendre/d3r20c64/seed_sweep/cold_a05_2707/9,ecg200,10,42,,0.84,0.5156179666519165,3.5306451320648193,0.64,0.42,0.18,0.84,-3.0150270462036133,0.66,0.42,0.22,0.1,0.14,0.18,0.3,0.3,0.36,0.4,0.56,0.48,0.56,0.62,0.82,1.0,0.8571428571428571,0.7777777777777778,0.6666666666666666,0.8,0.7777777777777778,0.7,0.6428571428571429,0.9166666666666666,0.9285714285714286,0.9032258064516129,0.7560975609756098,0.26666666666666666,0.2558139534883721,0.24390243902439024,0.2,0.4857142857142857,0.46875,0.5,0.5,0.6538461538461539,0.5909090909090909,0.5789473684210527,0.8888888888888888,0.74,0.23529411764705882,0.74,0.23529411764705882,0.62,0.3448275862068966,0.64,0.3793103448275862,0.56,0.46153846153846156,0.66,0.5641025641025641,0.82,0.82,0.76,0.78,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.24,0.24,0.24,0.24,0.22,0.22,0.22,0.22,0.24,0.24,0.24,0.24,0.8,0.16666666666666666,0.8,0.16666666666666666,0.8,0.09090909090909091,0.8,0.09090909090909091,0.8,0.16666666666666666,0.8,0.16666666666666666
