max_epoch,seed,run_path,range_size,eval/test/acc,eval/test/clsloss,eval/uq_clean_accuracy,eval/uq_adv_acc/0.2,eval/uq_adv_acc/0.4,eval/uq_adv_acc/1.0,eval/uq_detection/1pct/0.2,eval/uq_detection/5pct/0.2,eval/uq_detection/10pct/0.2,eval/uq_detection/20pct/0.2,eval/uq_detection/1pct/0.4,eval/uq_detection/5pct/0.4,eval/uq_detection/10pct/0.4,eval/uq_detection/20pct/0.4,eval/uq_detection/1pct/1.0,eval/uq_detection/5pct/1.0,eval/uq_detection/10pct/1.0,eval/uq_detection/20pct/1.0,eval/uq_purify_acc/0.2/0.2,eval/uq_purify_recovery/0.2/0.2,eval/uq_purify_acc/0.4/0.2,eval/uq_purify_recovery/0.4/0.2,eval/uq_purify_acc/1.0/0.2,eval/uq_purify_recovery/1.0/0.2,eval/test/rob/0.2,eval/test/rob/0.4,eval/test/rob/1.0,run_name,eval/test/genloss,eval/uq_clean_log_px_mean
0,1,outputs/seed_sweep/cls/legendre/d10D6/moons_4k_1203/0/models/moons_4k_pre_mps_bd6_legendre10_300adamlr0.041376293143363094wd1.1024958579569868e-09,2.0,1.0,6.656200559973513e-05,1.0,0.9585,0.644,0.334,0.225,0.285,0.3585,0.4645,0.3305,0.439,0.5095,0.6025,0.124,0.1815,0.215,0.3025,0.977,0.5060240963855421,0.705,0.17134831460674158,0.499,0.27702702702702703,0.9585,0.644,0.334,,,
0,2,outputs/seed_sweep/cls/legendre/d10D6/moons_4k_1203/0/models/moons_4k_pre_mps_bd6_legendre10_300adamlr0.041376293143363094wd1.1024958579569868e-09,2.0,1.0,6.656200559973513e-05,1.0,0.9585,0.644,0.334,0.225,0.285,0.3585,0.4645,0.3305,0.439,0.5095,0.6025,0.124,0.1815,0.215,0.3025,0.977,0.5060240963855421,0.705,0.17134831460674158,0.499,0.27702702702702703,0.9585,0.644,0.334,,,
0,3,outputs/seed_sweep/cls/legendre/d10D6/moons_4k_1203/0/models/moons_4k_pre_mps_bd6_legendre10_300adamlr0.041376293143363094wd1.1024958579569868e-09,2.0,1.0,6.656200559973513e-05,1.0,0.9585,0.644,0.334,0.225,0.285,0.3585,0.4645,0.3305,0.439,0.5095,0.6025,0.124,0.1815,0.215,0.3025,0.977,0.5060240963855421,0.705,0.17134831460674158,0.499,0.27702702702702703,0.9585,0.644,0.334,,,
0,4,outputs/seed_sweep/cls/legendre/d10D6/moons_4k_1203/0/models/moons_4k_pre_mps_bd6_legendre10_300adamlr0.041376293143363094wd1.1024958579569868e-09,2.0,1.0,6.656200559973513e-05,1.0,0.9585,0.644,0.334,0.225,0.285,0.3585,0.4645,0.3305,0.439,0.5095,0.6025,0.124,0.1815,0.215,0.3025,0.977,0.5060240963855421,0.705,0.17134831460674158,0.499,0.27702702702702703,0.9585,0.644,0.334,,,
0,5,outputs/seed_sweep/cls/legendre/d10D6/moons_4k_1203/0/models/moons_4k_pre_mps_bd6_legendre10_300adamlr0.041376293143363094wd1.1024958579569868e-09,2.0,1.0,6.656200559973513e-05,1.0,0.9585,0.644,0.334,0.225,0.285,0.3585,0.4645,0.3305,0.439,0.5095,0.6025,0.124,0.1815,0.215,0.3025,0.977,0.5060240963855421,0.705,0.17134831460674158,0.499,0.27702702702702703,0.9585,0.644,0.334,,,
1,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/0,,1.0,0.0005685085679942858,1.0,0.932,0.639,0.3715,0.3055,0.3625,0.4105,0.539,0.384,0.503,0.5405,0.63,0.222,0.2775,0.3355,0.466,0.961,0.4411764705882353,0.709,0.19390581717451524,0.4995,0.24025457438345266,0.932,0.639,0.3715,0,0.9205261152237654,-0.9207622408866882
1,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/1,,1.0,0.0005576854637183715,1.0,0.929,0.643,0.3865,0.302,0.348,0.394,0.5345,0.3915,0.4835,0.533,0.635,0.167,0.2375,0.304,0.4425,0.959,0.4225352112676056,0.71,0.19047619047619047,0.514,0.25101874490627546,0.929,0.643,0.3865,1,0.9211603719741106,-0.9213896989822388
4,1,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/10,,0.9995,0.0033413136698072776,0.9995,0.9465,0.7105,0.5465,0.286,0.419,0.4585,0.6255,0.462,0.5605,0.5915,0.6865,0.251,0.3605,0.417,0.498,0.97,0.4672897196261682,0.7675,0.21761658031088082,0.5885,0.10363836824696802,0.9465,0.7105,0.5465,10,0.6996768843382597,-0.696560800075531
4,2,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/11,,0.9995,0.003260031546233222,0.9995,0.9425,0.712,0.559,0.2995,0.4295,0.4785,0.64,0.4575,0.564,0.6055,0.695,0.2565,0.347,0.3975,0.4825,0.9685,0.46956521739130436,0.772,0.2309027777777778,0.6085,0.11904761904761904,0.9425,0.712,0.559,11,0.7010101024061441,-0.6979402899742126
4,3,/home/ubuntu/adversarial_training_mps/outputs/cls_reg/gen/legendre/d10D6/moons_4k_1303/12,,0.9995,0.003025810161489062,0.9995,0.95,0.695,0.5485,0.2805,0.402,0.456,0.611,0.4735,0.5705,0.6245,0.706,0.255,0.3515,0.405,0.4685,0.972,0.46,0.759,0.21967213114754097,0.5915,0.10520487264673312,0.95,0.695,0.5485,12,0.6994655914604664,-0.6966089606285095
